1723818817.000000, 1723818817.000000, 1723818817.000000
32.000000, 32.000000, 32.000000
-41,17,49
-41,17,49
-41,17,48
-41,17,49
-41,17,49
-41,17,49
-41,17,49
-41,17,49
-41,17,48
-41,17,49
-41,17,49
-40,17,49
-41,17,49
-41,17,49
-40,17,48
-41,17,49
-40,17,48
-41,17,49
-41,17,48
-40,17,49
-40,17,49
-41,17,49
-40,17,49
-40,18,49
-40,18,49
-41,18,48
-41,18,48
-40,17,49
-41,17,49
-41,17,49
-40,17,49
-40,17,49
-40,17,49
-40,17,49
-40,17,49
-40,17,48
-40,18,49
-41,18,49
-40,18,49
-40,18,49
-40,17,49
-40,17,49
-40,17,49
-40,17,49
-40,18,49
-40,18,48
-40,18,49
-40,18,49
-40,18,49
-40,18,49
-40,17,49
-40,17,49
-40,18,49
-40,18,49
-40,18,49
-40,18,49
-40,17,49
-40,17,49
-40,17,49
-41,17,49
-40,17,49
-40,17,49
-41,17,49
-40,17,49
-40,17,49
-40,17,49
-41,17,49
-40,17,49
-40,17,48
-40,17,49
-40,17,49
-40,17,49
-40,17,49
-41,17,49
-40,17,49
-41,17,48
-40,17,49
-40,17,49
-41,17,49
-40,17,49
-40,17,49
-40,17,49
-40,18,49
-40,17,49
-41,18,49
-40,18,49
-42,18,48
-42,18,49
-46,20,50
-57,21,52
-51,22,56
-38,24,64
-64,19,52
-67,20,58
-50,8,55
-49,1,42
-63,-6,29
-67,-14,32
-66,-12,34
-53,-17,31
-59,-21,24
-65,-25,19
-57,-24,17
-58,-29,14
-58,-30,18
-53,-36,18
-50,-41,15
-47,-38,18
-49,-46,14
-52,-44,12
-47,-34,20
-43,-27,24
-41,-22,20
-34,-25,19
-32,-23,23
-35,-30,24
-31,-38,28
-33,-34,32
-38,-40,28
-38,-43,26
-39,-45,26
-54,-38,26
-54,-39,22
-47,-37,32
-44,-35,30
-47,-38,25
-41,-41,34
-39,-40,34
-45,-44,28
-34,-42,41
-36,-42,39
-37,-41,38
-30,-41,35
-30,-43,35
-33,-42,38
-32,-43,37
-32,-43,36
-36,-46,37
-38,-45,37
-38,-45,35
-43,-43,29
-45,-42,26
-40,-38,35
-41,-37,34
-42,-36,33
-37,-35,37
-40,-35,35
-40,-34,37
-39,-37,37
-41,-37,34
-44,-38,38
-39,-38,42
-36,-39,38
-38,-41,37
-36,-40,37
-39,-39,35
-35,-39,35
-37,-38,34
-40,-40,33
-36,-39,36
-40,-39,36
-40,-40,38
-38,-39,40
-40,-40,34
-39,-41,28
-36,-42,26
-35,-38,36
-36,-39,44
-44,-35,26
-44,-45,21
-32,-38,38
-54,-30,58
-51,-29,64
-128,-34,18
19,-9,72
-30,-55,6
-58,-43,2
-25,-39,28
-14,-31,64
-62,-37,34
-41,-36,30
90,-29,83
-96,-46,33
-62,-51,3
-40,-42,30
-7,-32,55
-25,-36,53
-36,-30,54
-31,-33,26
-28,-40,36
-29,-38,36
-43,-41,26
-49,-42,30
-37,-44,36
-41,-40,34
-46,-39,31
-44,-40,29
-43,-42,27
-36,-41,32
-37,-40,35
-37,-40,33
-43,-41,31
-43,-40,32
-42,-43,26
-41,-43,27
-45,-41,30
-44,-43,27
-44,-44,27
-43,-42,32
-42,-42,33
-42,-41,30
-43,-41,31
-42,-40,32
-41,-41,29
-41,-42,30
-38,-42,32
-42,-40,31
-40,-40,33
-43,-41,31
-37,-40,32
-41,-39,31
-41,-42,31
-42,-42,31
-41,-43,31
-38,-40,32
-39,-38,33
-42,-35,33
-37,-32,33
-39,-29,30
-34,-22,26
6,-10,47
11,-9,54
-23,-16,39
-29,-14,35
0,-12,45
15,-23,55
10,-6,52
-5,-6,57
-29,8,53
-38,19,59
-26,0,80
-52,6,79
-71,23,73
-31,25,89
-24,25,82
-41,5,61
-65,-3,46
-54,-3,44
-31,4,48
-28,5,47
-29,14,52
-68,29,51
-95,20,47
-40,11,58
-56,13,35
-65,19,45
-48,21,67
-20,20,68
6,24,73
-16,20,59
-27,20,55
-26,21,55
-27,22,55
-23,23,56
-16,25,60
-16,25,61
-18,25,60
-23,25,56
-26,24,54
-28,23,52
-27,24,54
-26,24,55
-23,24,56
-22,24,56
-21,24,56
-20,25,56
-20,25,57
-21,25,57
-22,25,56
-22,25,56
-22,24,56
-22,24,56
-21,24,56
-21,24,56
-21,25,56
-22,25,56
-21,24,56
-21,24,56
-21,24,57
-21,24,57
-21,24,57
-20,24,57
-20,24,57
-21,23,56
-21,23,56
-19,23,57
-20,24,56
-21,24,56
-22,26,57
-23,26,57
-23,25,57
-21,23,55
-19,22,53
-20,21,53
-22,22,56
-24,22,58
-25,25,58
-20,27,58
-22,26,56
-24,25,55
-25,25,56
-26,26,59
-21,26,56
-19,25,54
-19,24,51
-25,23,53
-25,23,54
-23,23,56
-24,25,58
-16,27,59
-18,28,60
-24,27,56
-27,23,55
-25,24,54
-22,24,55
-21,25,56
-22,25,57
-21,24,57
-22,25,57
-22,25,57
-22,25,57
-21,24,56
-22,23,56
-21,23,55
-21,23,56
-21,24,56
-22,24,56
-22,24,56
-21,24,57
-22,24,56
-21,24,56
-22,23,56
-22,23,57
-21,24,57
-21,23,57
-21,23,56
-21,24,57
-21,23,57
-22,23,57
-22,23,57
-21,23,57
-21,23,56
-21,23,56
-21,23,56
-22,23,57
-21,23,57
-21,24,57
-22,24,57
-21,24,56
-21,24,56
-21,23,57
-21,24,57
-15,26,63
-14,29,65
-19,29,71
-30,28,67
-53,31,59
-95,19,46
-66,10,79
-66,13,73
-77,3,63
-72,0,63
-65,-9,50
-58,-15,41
-49,-21,37
-34,-22,25
-20,-35,11
-17,-35,11
-8,-38,7
2,-41,4
7,-41,4
10,-46,5
14,-45,6
20,-46,11
26,-49,14
24,-49,15
26,-50,20
26,-51,20
27,-52,17
16,-58,14
19,-59,17
21,-59,20
23,-59,19
20,-58,16
32,-54,28
31,-54,27
18,-56,20
22,-55,25
19,-54,25
16,-55,21
20,-53,26
19,-53,27
19,-53,27
18,-55,26
27,-56,28
19,-55,27
18,-54,25
14,-52,25
14,-49,35
20,-51,35
16,-52,28
12,-53,27
17,-57,31
23,-56,31
20,-56,28
18,-55,29
16,-55,29
20,-57,27
22,-54,28
19,-52,29
22,-53,29
20,-52,28
22,-54,29
21,-56,27
22,-56,27
19,-54,26
18,-53,30
22,-53,30
24,-52,32
21,-53,30
19,-54,29
19,-52,31
20,-51,33
23,-52,33
20,-52,31
19,-53,31
20,-52,32
19,-52,30
18,-52,28
18,-50,29
16,-50,26
20,-51,24
24,-51,23
27,-50,24
23,-47,24
28,-49,19
26,-46,14
24,-46,14
26,-41,8
20,-42,11
15,-50,10
12,-44,7
-1,-41,3
-9,-43,8
-20,-31,15
-37,-28,24
-39,-33,26
-43,-16,52
-72,-12,57
-65,-23,46
-100,1,55
-66,-12,50
-41,-13,52
-59,13,58
-58,9,58
-41,7,61
-60,19,58
-89,24,68
