Timestamp (ns),ECG Sample (microVolt)
,62
,84
,139
,168
,156
,141
,151
,141
,67
,36
,120
,182
,168
,180
,211
,216
,233
,276
,288
,214
,346
,827
,969
,502
,28
,-52
,79
,57
,86
,416
,545
,346
,238
,45
,-367
,-440
,-120
,-103
,-483
,-714
,-625
,-514
,-512
,-502
,-423
,-346
,-339
,-346
,-307
,-319
,-382
,-334
,-235
,-240
,-221
,-146
,-192
,-278
,-199
,-62
1722956158316347337,-69
,-98
,-57
,-48
,-60
,-40
,-4
,9
,-19
,-52
,-57
,-38
,-14
,-7
,-7
,-14
,-14
,26
,62
,57
,74
,113
,139
,165
,173
,161
,127
,76
,88
,134
,113
,60
,81
,149
,161
,113
,86
,108
,125
,105
,86
,76
,52
,43
,110
,177
,125
,57
,67
,93
,115
,137
,137
,129
,144
,144
,132
,158
,182
,187
,199
,197
,163
,146
,156
,170
,168
,161
,173
,187
,156
,93
,36
1722956158877156278,-4
,14
,64
,81
,86
,103
,113
,144
,310
,690
,1192
,1426
,755
,-512
,-964
,-447
,-98
,-64
,45
,101
,67
,93
,141
,156
,177
,206
,211
,214
,223
,230
,240
,254
,254
,247
,250
,254
,269
,286
,295
,322
,365
,382
,382
,408
,471
,526
,533
,562
,666
,733
,687
,601
,545
,492
,389
,264
,206
,125
,-19
,-98
,-103
,-88
,-40
,79
,175
,202
,211
,81
,-24
,43
,115
,242
,281
1722956159437965217,101
,137
,348
,322
,192
,149
,146
,202
,242
,187
,113
,72
,57
,91
,108
,67
,-2
,-98
,-122
,-45
,-69
,-223
,-214
,-24
,14
,-81
,-45
,40
,24
,-16
,-57
,-84
,-16
,12
,-38
,-14
,0
,-67
,-76
,-31
,-67
,-115
,-40
,26
,-16
,-50
,-57
,-117
,-223
,-315
,-293
,-233
,-262
,-310
,-336
,-351
,-327
,-269
,-204
,-76
,117
,192
,132
,125
,161
,144
,125
,125
,125
,125
,117
,86
,36
1722956159998763986,9
,12
,64
,163
,180
,103
,67
,101
,103
,67
,81
,115
,125
,139
,187
,353
,745
,1262
,1478
,762
,-560
,-1012
,-480
,-165
,-113
,74
,165
,117
,120
,132
,127
,170
,223
,240
,257
,288
,339
,370
,339
,298
,305
,346
,346
,295
,310
,382
,367
,346
,411
,478
,526
,581
,622
,670
,687
,649
,675
,750
,716
,656
,632
,533
,401
,339
,288
,209
,204
,238
,182
,132
,156
,156
,134
1722956160559583097,120
,103
,113
,134
,129
,132
,153
,161
,151
,141
,139
,141
,139
,146
,151
,146
,137
,132
,132
,127
,132
,122
,86
,69
,91
,98
,88
,76
,64
,64
,74
,86
,81
,67
,76
,105
,103
,81
,79
,76
,72
,74
,64
,69
,86
,64
,50
,72
